title,start,end,location,description,event_type,source_file
Fronleichnam,2026-06-04 00:00:00+00:00,2026-06-05 00:00:00+00:00,,"Gesetzlicher Feiertag BW, BY, HE, NRW, RP und SL sowie
SN und TH (teilweise)",holiday,holidays_de.ics.ics
Altweiberfasching,2026-02-12 00:00:00+00:00,2026-02-13 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Totensonntag,2024-11-24 00:00:00+00:00,2024-11-25 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Allerseelen,2028-11-02 00:00:00+00:00,2028-11-03 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Aschermittwoch,2026-02-18 00:00:00+00:00,2026-02-19 00:00:00+00:00,,,holiday,holidays_de.ics.ics
4. Advent,2027-12-19 00:00:00+00:00,2027-12-20 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ostermontag,2027-03-29 00:00:00+00:00,2027-03-30 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ostersonntag,2024-03-31 00:00:00+00:00,2024-04-01 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Beginn der Sommerzeit,2024-03-31 00:00:00+00:00,2024-04-01 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Halloween,2024-10-31 00:00:00+00:00,2024-11-01 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ostersonntag,2026-04-05 00:00:00+00:00,2026-04-06 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Mariä Himmelfahrt,2024-08-15 00:00:00+00:00,2024-08-16 00:00:00+00:00,,Gesetzlicher Feiertag SL und BY (teilweise),holiday,holidays_de.ics.ics
Ostermontag,2024-04-01 00:00:00+00:00,2024-04-02 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Karfreitag,2028-04-14 00:00:00+00:00,2028-04-15 00:00:00+00:00,,,holiday,holidays_de.ics.ics
4. Advent,2026-12-20 00:00:00+00:00,2026-12-21 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Heiligabend,2024-12-24 00:00:00+00:00,2024-12-25 00:00:00+00:00,,,holiday,holidays_de.ics.ics
2. Advent,2027-12-05 00:00:00+00:00,2027-12-06 00:00:00+00:00,,,holiday,holidays_de.ics.ics
1. Advent,2027-11-28 00:00:00+00:00,2027-11-29 00:00:00+00:00,,,holiday,holidays_de.ics.ics
St. Martin,2024-11-11 00:00:00+00:00,2024-11-12 00:00:00+00:00,,,holiday,holidays_de.ics.ics
4. Advent,2024-12-22 00:00:00+00:00,2024-12-23 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Rosenmontag,2026-02-16 00:00:00+00:00,2026-02-17 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Aschermittwoch,2028-03-01 00:00:00+00:00,2028-03-02 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Totensonntag,2025-11-23 00:00:00+00:00,2025-11-24 00:00:00+00:00,,,holiday,holidays_de.ics.ics
3. Advent,2025-12-14 00:00:00+00:00,2025-12-15 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Palmsonntag,2029-03-25 00:00:00+00:00,2029-03-26 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Weltkindertag,2024-09-20 00:00:00+00:00,2024-09-21 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Reformationstag,2024-10-31 00:00:00+00:00,2024-11-01 00:00:00+00:00,,"Gesetzlicher Feiertag BB, MV, SN, ST, TH",holiday,holidays_de.ics.ics
Rosenmontag,2029-02-12 00:00:00+00:00,2029-02-13 00:00:00+00:00,,,holiday,holidays_de.ics.ics
2. Advent,2028-12-10 00:00:00+00:00,2028-12-11 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstsonntag,2024-05-19 00:00:00+00:00,2024-05-20 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Allerseelen,2025-11-02 00:00:00+00:00,2025-11-03 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Ostermontag,2029-04-02 00:00:00+00:00,2029-04-03 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Palmsonntag,2026-03-29 00:00:00+00:00,2026-03-30 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Silvester,2024-12-31 00:00:00+00:00,2025-01-01 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Palmsonntag,2027-03-21 00:00:00+00:00,2027-03-22 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Karfreitag,2025-04-18 00:00:00+00:00,2025-04-19 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Gründonnerstag,2024-03-28 00:00:00+00:00,2024-03-29 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Fronleichnam,2028-06-15 00:00:00+00:00,2028-06-16 00:00:00+00:00,,"Gesetzlicher Feiertag BW, BY, HE, NRW, RP und SL sowie
SN und TH (teilweise)",holiday,holidays_de.ics.ics
Karfreitag,2027-03-26 00:00:00+00:00,2027-03-27 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Palmsonntag,2025-04-13 00:00:00+00:00,2025-04-14 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Buß- und Bettag,2024-11-20 00:00:00+00:00,2024-11-21 00:00:00+00:00,,Gesetzlicher Feiertag SN,holiday,holidays_de.ics.ics
4. Advent,2029-12-23 00:00:00+00:00,2029-12-24 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Fronleichnam,2024-05-30 00:00:00+00:00,2024-05-31 00:00:00+00:00,,"Gesetzlicher Feiertag BW, BY, HE, NRW, RP und SL sowie
SN und TH (teilweise)",holiday,holidays_de.ics.ics
Allerheiligen,2024-11-01 00:00:00+00:00,2024-11-02 00:00:00+00:00,,"Gesetzlicher Feiertag BW, BY, NRW, RP und SL",holiday,holidays_de.ics.ics
Tag der Deutschen Einheit,2024-10-03 00:00:00+00:00,2024-10-04 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Palmsonntag,2028-04-09 00:00:00+00:00,2028-04-10 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Buß- und Bettag,2026-11-18 00:00:00+00:00,2026-11-19 00:00:00+00:00,,Gesetzlicher Feiertag SN,holiday,holidays_de.ics.ics
Christi Himmelfahrt,2027-05-06 00:00:00+00:00,2027-05-07 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Rosenmontag,2024-02-12 00:00:00+00:00,2024-02-13 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Friedensfest,2024-08-08 00:00:00+00:00,2024-08-09 00:00:00+00:00,,Gesetzlicher Feiertag Augsburg (BY),holiday,holidays_de.ics.ics
Aschermittwoch,2024-02-14 00:00:00+00:00,2024-02-15 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Pfingstmontag,2025-06-09 00:00:00+00:00,2025-06-10 00:00:00+00:00,,,holiday,holidays_de.ics.ics
Karfreitag,2026-04-03 00:00:00+00:00,2026-04-04 00:00:00+00:00,,,holiday,holidays_de.ics.ics
